bidder_id,prediction
49bb5a3c944b8fc337981cc7a9ccae41u31d7,0.00011423308709590165
a921612b85a1494456e74c09393ccb65ylp4y,0.00029589958812101366
6b601e72a4d264dab9ace9d7b229b47479v6i,0.02011380763047386
eaf0ed0afc9689779417274b4791726cn5udi,0.0001351382713019274
cdecd8d02ed8c6037e38042c7745f688mx5sf,0.01606472582371423
d4aed439bdc854a56fc6cc3bdb986775w7hxw,0.004759529152707598
ed591299b162a19ff77f0479495831b31hl1q,0.00023486039381643295
eebdee08b0f67283126ef60307f49680sb9va,0.03776285258105044
6887f0abc4eb4c79eb0e23c48ceea186vjfih,0.17105176489009244
37eb6e2979e66d4ce29a74ac1c8bc6a5lqs6t,0.0018829955404368066
3bdce1c10890630c287cc3f758ae0dc3ddpu8,0.5542231487784679
78fdbeba625c6ee7a1bce379b4263773auglk,0.0009579984031650426
65d451d17c6c3cc8bcfad0f4253f307arko5e,0.00035510986712590205
5ad0cf9fa41c6ee677e708cd704ba9609qjod,0.000718028768934755
b017a5693a93f7e5fcab8e4be495951f5hlp3,0.0006587939960084091
29606fe1516646d7058c2830d03643705t8hg,5.16573194617697e-05
1c93e9b89cbb10abc6180e3a0e5061fcwugql,3.667369900758524e-05
de24bbcb87c906b5e385ec715df727dcgj8gs,0.00017328989698482138
7f6d1b6369786181188848e7903ba72ckc0xv,0.00618164862476481
2fdc5ca6fd51089afe756ee00e4f7e23le4gq,0.0007175872458612066
3cda68167e63c7edcb7a618e466f5e82iv4xq,0.00015815924651096656
40848d51755dda8e1aa23ba52bfb1ab5ewrso,0.02276316003772289
3e322551a9657e97b345bb965bbab4d8eawre,2.85905376964162e-05
1a1d4e9eba20c58b73fd68c5ab9907081xw9l,0.016394709441692218
5759ce7d1b3dbe6ddf4a1d128e767085yu5iv,0.0008668521890588219
a32715dae5fe9d7f9e29c70e6171a513nal30,5.8783925533803605e-05
2fd12c6c9a8c86edf1dc5d3bb6bd11dd9skfc,0.00020757938015125507
6c13e796dc0cb45b234234a7117d6fe9ta8qr,0.005661615988980196
9f1e93f86a9d053856f754386fbeacf7bbn0h,0.00013389310194198472
a597c466ab9757c8b6b3f1da537303ccizhqj,9.033065422933725e-05
8f903e6e380c42b5ad29d74dfbde74709ptfy,0.000711282977157214
8ec77c402265170cdff483194d26a711b2jw9,0.0011865274659103077
